Freq.	V(vout)
1.00000000000000e+003	(-4.70948871512722e-002dB,-3.63633102551770e+001°)
1.00770481413610e+003	(-4.78831335985889e-002dB,-3.66524323794492e+001°)
1.01546899243308e+003	(-4.86875568091968e-002dB,-3.69440158435196e+001°)
1.02329299228075e+003	(-4.95086174454136e-002dB,-3.72380859136519e+001°)
1.03117727459306e+003	(-5.03467938390020e-002dB,-3.75346682237448e+001°)
1.03912230383517e+003	(-5.12025827750282e-002dB,-3.78337887827873e+001°)
1.04712854805090e+003	(-5.20765003116131e-002dB,-3.81354739824763e+001°)
1.05519647889024e+003	(-5.29690826376127e-002dB,-3.84397506049995e+001°)
1.06332657163716e+003	(-5.38808869697797e-002dB,-3.87466458309851e+001°)
1.07151930523761e+003	(-5.48124924911474e-002dB,-3.90561872476208e+001°)
1.07977516232771e+003	(-5.57645013326270e-002dB,-3.93684028569429e+001°)
1.08809462926223e+003	(-5.67375395997383e-002dB,-3.96833210842980e+001°)
1.09647819614319e+003	(-5.77322584465105e-002dB,-4.00009707869780e+001°)
1.10492635684876e+003	(-5.87493351986181e-002dB,-4.03213812630294e+001°)
1.11343960906236e+003	(-5.97894745280754e-002dB,-4.06445822602387e+001°)
1.12201845430197e+003	(-6.08534096818012e-002dB,-4.09706039852935e+001°)
1.13066339794964e+003	(-6.19419037662714e-002dB,-4.12994771131198e+001°)
1.13937494928134e+003	(-6.30557510910706e-002dB,-4.16312327963968e+001°)
1.14815362149688e+003	(-6.41957785737196e-002dB,-4.19659026752472e+001°)
1.15699993175021e+003	(-6.53628472086500e-002dB,-4.23035188871029e+001°)
1.16591440117983e+003	(-6.65578536029841e-002dB,-4.26441140767453e+001°)
1.17489755493953e+003	(-6.77817315823519e-002dB,-4.29877214065190e+001°)
1.18394992222930e+003	(-6.90354538695689e-002dB,-4.33343745667153e+001°)
1.19307203632654e+003	(-7.03200338394255e-002dB,-4.36841077861249e+001°)
1.20226443461742e+003	(-7.16365273530427e-002dB,-4.40369558427549e+001°)
1.21152765862859e+003	(-7.29860346750679e-002dB,-4.43929540747078e+001°)
1.22086225405907e+003	(-7.43697024774613e-002dB,-4.47521383912162e+001°)
1.23026877081238e+003	(-7.57887259334587e-002dB,-4.51145452838306e+001°)
1.23974776302895e+003	(-7.72443509056252e-002dB,-4.54802118377512e+001°)
1.24929978911874e+003	(-7.87378762322651e-002dB,-4.58491757432993e+001°)
1.25892541179417e+003	(-8.02706561157734e-002dB,-4.62214753075186e+001°)
1.26862519810326e+003	(-8.18441026179620e-002dB,-4.65971494658997e+001°)
1.27839971946303e+003	(-8.34596882662464e-002dB,-4.69762377942154e+001°)
1.28824955169314e+003	(-8.51189487757229e-002dB,-4.73587805204572e+001°)
1.29817527504985e+003	(-8.68234858917020e-002dB,-4.77448185368607e+001°)
1.30817747426020e+003	(-8.85749703578231e-002dB,-4.81343934120046e+001°)
1.31825673855641e+003	(-9.03751450147614e-002dB,-4.85275474029711e+001°)
1.32841366171065e+003	(-9.22258280348947e-002dB,-4.89243234675468e+001°)
1.33864884207000e+003	(-9.41289162984156e-002dB,-4.93247652764503e+001°)
1.34896288259166e+003	(-9.60863889165667e-002dB,-4.97289172255612e+001°)
1.35935639087853e+003	(-9.81003109075981e-002dB,-5.01368244481336e+001°)
1.36982997921497e+003	(-1.00172837031783e-001dB,-5.05485328269653e+001°)
1.38038426460289e+003	(-1.02306215791483e-001dB,-5.09640890064998e+001°)
1.39101986879806e+003	(-1.04502793602352e-001dB,-5.13835404048289e+001°)
1.40173741834677e+003	(-1.06765019142753e-001dB,-5.18069352255682e+001°)
1.41253754462276e+003	(-1.09095447887461e-001dB,-5.22343224695685e+001°)
1.42342088386435e+003	(-1.11496746832850e-001dB,-5.26657519464282e+001°)
1.43438807721197e+003	(-1.13971699420317e-001dB,-5.31012742857657e+001°)
1.44543977074593e+003	(-1.16523210665210e-001dB,-5.35409409482092e+001°)
1.45657661552446e+003	(-1.19154312498445e-001dB,-5.39848042360573e+001°)
1.46779926762207e+003	(-1.21868169328122e-001dB,-5.44329173035598e+001°)
1.47910838816821e+003	(-1.24668083828729e-001dB,-5.48853341667650e+001°)
1.49050464338620e+003	(-1.27557502965345e-001dB,-5.53421097128756e+001°)
1.50198870463249e+003	(-1.30540024260876e-001dB,-5.58032997090491e+001°)
1.51356124843621e+003	(-1.33619402313393e-001dB,-5.62689608105783e+001°)
1.52522295653902e+003	(-1.36799555571998e-001dB,-5.67391505683760e+001°)
1.53697451593528e+003	(-1.40084573378482e-001dB,-5.72139274356906e+001°)
1.54881661891249e+003	(-1.43478723282681e-001dB,-5.76933507739670e+001°)
